farm_id,species_count,area_ha,organic_matter,ph_level,soil_structure,water_consumption,yield_tons,co2_emissions,revenue,costs,labor_hours,income_per_capita,regional_average_income
27,118.0,596.12,5.36,6.93,0.82,9641.56,25.37,957.24,4880451.94,3416316.36,483.75,41593.96,30000.0
28,90.0,577.03,4.76,6.09,0.73,7551.44,20.30,763.06,4350954.04,3045667.83,309.38,30827.37,30000.0
29,76.0,800.96,5.99,6.47,0.87,11568.94,21.30,1285.92,4410190.44,3087133.31,529.50,46745.29,30000.0
30,114.0,521.30,5.43,6.79,0.71,7551.09,23.45,639.60,4172305.97,2920614.18,665.50,34838.60,30000.0
31,96.0,765.58,2.13,6.07,0.63,11573.54,22.54,1260.16,4960579.44,3472405.61,578.03,41894.62,30000.0
32,102.0,789.14,4.56,6.81,0.85,10522.40,21.60,1294.28,4035333.81,2824733.67,390.93,37448.91,30000.0
33,79.0,804.75,5.76,6.22,0.88,12102.85,22.65,1359.50,4737662.77,3316363.94,632.95,41864.83,30000.0
34,112.0,865.10,2.16,6.12,0.87,14152.25,23.22,1497.20,4568139.82,3197697.87,684.89,34506.89,30000.0
35,90.0,898.44,2.77,6.34,0.61,14043.29,22.11,1508.88,4993992.45,3495794.72,652.75,48944.24,30000.0
36,89.0,652.78,4.44,7.46,0.65,9748.77,22.92,985.56,4593928.94,3215750.26,491.02,38595.39,30000.0
37,120.0,639.54,5.37,6.59,0.60,9510.04,22.73,955.08,4125155.73,2887609.01,310.37,30113.82,30000.0
38,101.0,520.09,3.75,6.34,0.79,7528.02,23.37,636.18,4254160.83,2977912.58,668.63,43528.67,30000.0
39,101.0,583.77,2.93,6.60,0.85,8809.91,21.75,748.54,4290077.85,3003054.50,393.74,45339.97,30000.0
40,117.0,782.84,4.42,6.22,0.62,11558.12,22.50,1315.68,4658850.17,3261195.12,600.47,39429.58,30000.0
41,99.0,697.36,2.67,7.11,0.63,10169.14,25.16,1046.72,4472602.01,3130821.41,370.84,42586.73,30000.0
42,84.0,868.09,5.53,6.08,0.76,12127.37,21.46,1497.19,4743880.98,3320716.69,647.42,42031.84,30000.0
43,117.0,553.77,2.03,7.00,0.84,8809.91,21.75,686.54,4206436.45,2944505.52,479.15,39371.20,30000.0
44,121.0,670.54,3.83,6.24,0.64,9159.47,19.86,969.08,4621111.59,3234778.11,600.47,30222.62,30000.0
45,103.0,521.74,2.78,7.12,0.63,7594.63,23.81,650.48,4971329.75,3479930.83,484.65,37033.12,30000.0
46,72.0,662.90,4.53,6.76,0.76,9437.27,21.56,941.80,4330587.62,3031411.33,422.39,49744.15,30000.0
47,118.0,777.69,4.23,7.42,0.79,10632.28,22.30,1341.38,4780957.06,3346670.94,342.02,30143.61,30000.0
48,90.0,821.61,2.59,6.73,0.62,13866.88,24.15,1464.22,4870131.24,3409091.87,693.15,36064.02,30000.0
49,76.0,685.02,2.94,6.02,0.82,8364.58,20.69,974.04,4494502.84,3146151.99,583.59,44549.31,30000.0
50,114.0,543.99,4.97,7.22,0.86,9040.03,24.59,768.98,4830198.09,3381138.66,523.27,48237.72,30000.0
