farm_id,species_count,area_ha,organic_matter,ph_level,soil_structure,water_consumption,yield_tons,co2_emissions,revenue,costs,labor_hours,income_per_capita,regional_average_income
31,26.0,75.58,2.13,6.57,0.63,673.54,3.54,260.16,960579.44,768463.55,178.03,21894.62,20000.0
32,32.0,79.14,4.56,6.81,0.85,622.40,3.60,294.28,435333.81,348267.05,190.93,27448.91,20000.0
33,29.0,84.75,5.76,6.72,0.88,702.85,3.65,259.50,737662.77,590130.22,132.95,21864.83,20000.0
34,32.0,95.10,2.16,6.62,0.87,852.25,3.22,297.20,568139.82,454511.86,184.89,24506.89,20000.0
35,20.0,98.44,2.77,6.84,0.61,843.29,3.11,308.88,993992.45,795193.96,152.75,28944.24,20000.0
36,29.0,62.78,4.44,6.96,0.65,548.77,3.92,185.56,593928.94,475143.15,191.02,28595.39,20000.0
37,40.0,59.54,5.37,6.59,0.60,510.04,3.73,155.08,525155.73,420124.58,110.37,20113.82,20000.0
38,31.0,30.09,3.75,6.84,0.79,328.02,3.37,136.18,454160.83,363328.66,168.63,23528.67,20000.0
39,31.0,43.77,2.93,6.60,0.85,409.91,3.75,148.54,490077.85,392062.28,193.74,25339.97,20000.0
40,37.0,82.84,4.42,6.72,0.62,658.12,3.50,315.68,658850.17,527080.14,100.47,29429.58,20000.0
41,29.0,67.36,2.67,6.61,0.63,569.14,5.16,146.72,472602.01,378081.61,170.84,22586.73,20000.0
42,24.0,88.09,5.53,6.58,0.76,727.37,3.46,297.19,743880.98,595104.78,147.42,22031.84,20000.0
43,37.0,43.77,2.03,6.50,0.84,409.91,4.75,186.54,406436.45,325149.16,179.15,29371.20,20000.0
44,41.0,60.54,3.83,6.74,0.64,459.47,4.86,169.08,621111.59,496889.27,100.47,20222.62,20000.0
45,33.0,31.74,2.78,6.62,0.63,394.63,3.81,150.48,971329.75,777063.80,184.65,27033.12,20000.0
46,22.0,62.90,4.53,6.76,0.76,537.27,4.56,141.80,530587.62,424470.10,122.39,29744.15,20000.0
47,38.0,77.69,4.23,6.92,0.79,632.28,3.30,241.38,780957.06,624765.65,142.02,20143.61,20000.0
48,20.0,91.61,2.59,6.73,0.62,866.88,4.15,264.22,870131.24,696104.99,193.15,26064.02,20000.0
49,26.0,65.02,2.94,6.52,0.82,464.58,3.69,174.04,494502.84,395602.27,183.59,24549.31,20000.0
50,34.0,33.99,4.97,6.72,0.86,440.03,4.59,168.98,830198.09,664158.47,123.27,28237.72,20000.0
